idx,preproc_loops,python_loops,lean_loops,preproc_success,python_success,lean_success
0210,0,0,3,True,True,True
0211,0,3,1,True,True,True
0212,2,0,1,True,True,True
0213,0,1,1,True,True,True
0214,1,1,1,True,True,True
0215,0,1,0,True,True,True
0216,0,0,0,True,True,True
0217,0,2,1,True,True,True
0218,0,0,3,True,True,True
0219,0,0,1,True,True,True
0220,1,1,3,True,True,True
0221,0,1,1,True,True,True
0222,0,0,2,True,True,True
0223,0,1,1,True,True,True
0224,0,0,0,True,True,True
0225,0,1,0,True,True,True
0226,2,1,3,True,True,True
0227,0,1,1,True,True,True
0228,0,1,0,True,True,True
0229,0,1,1,True,True,True
0230,0,5,0,True,True,True
0231,0,0,1,True,True,True
0232,0,1,1,True,True,True
0233,0,1,0,True,True,True
0234,0,0,2,True,True,True
0235,0,0,0,True,True,True
0236,0,0,4,True,True,True
0237,6,0,1,True,True,True
0238,0,1,1,True,True,True
0239,0,0,3,True,True,True
0240,0,1,4,True,True,True
0241,0,1,1,True,True,True
0242,0,1,3,True,True,True
0243,0,0,0,True,True,True
0244,0,1,0,True,True,True
0245,0,0,1,True,True,True
0246,4,0,2,True,True,True
0247,0,1,1,True,True,True
0248,0,1,3,True,True,True
0249,0,1,0,True,True,True
0250,0,2,1,True,True,True
0251,0,1,2,True,True,True
0252,0,1,0,True,True,True
0253,0,1,1,True,True,True
0254,0,1,0,True,True,True
0255,0,3,0,True,True,True
0256,0,1,1,True,True,True
0257,0,1,1,True,True,True
0258,0,5,0,True,False,False
0259,0,2,1,True,True,True
0260,0,0,1,True,True,True
0261,0,0,2,True,True,True
0262,0,4,2,True,True,True
0263,0,1,5,True,True,False
0264,0,0,5,True,True,False
0265,0,0,2,True,True,True
0266,0,1,1,True,True,True
0267,0,5,0,True,True,True
0268,0,0,1,True,True,True
0269,0,1,0,True,True,True
0270,0,0,1,True,True,True
0271,0,0,0,True,True,True
0272,0,2,1,True,True,True
0273,0,0,0,True,True,True
0274,0,0,3,True,True,True
0275,0,0,0,True,True,True
0276,0,2,2,True,True,True
0277,0,0,1,True,True,True
0278,0,1,1,True,True,True
0279,0,1,4,True,True,True
0280,0,0,1,True,True,True
0281,0,1,0,True,True,True
0282,0,0,2,True,True,True
0283,0,0,3,True,True,True
0284,0,0,3,True,True,True
0285,0,0,1,True,True,True
0286,0,1,1,True,True,True
0287,0,0,0,True,True,True
0288,0,1,0,True,True,True
0289,0,2,0,True,True,True
0290,0,0,1,True,True,True
0291,0,0,0,True,True,True
0292,0,1,0,True,True,True
0293,0,0,1,True,True,True
0294,0,1,0,True,True,True
0295,0,0,0,True,True,True
0296,0,1,0,True,True,True
0297,0,1,1,True,True,True
0298,0,0,0,True,True,True
0299,0,3,0,True,True,True
0300,0,1,0,True,True,True
0301,0,0,0,True,True,True
0302,0,0,0,True,True,True
0303,0,0,0,True,True,True
0304,0,0,0,True,True,True
0305,0,1,1,True,True,True
0306,2,0,2,True,True,True
0307,0,1,1,True,True,True
0308,0,0,5,True,True,False
0309,0,1,2,True,True,True
0310,0,0,2,True,True,True
0311,0,0,1,True,True,True
0312,0,2,5,True,True,True
0313,0,0,1,True,True,True
0314,0,0,0,True,True,True
0315,0,0,2,True,True,True
0316,0,1,2,True,True,True
0317,0,1,0,True,True,True
0318,0,1,3,True,True,True
0319,0,2,0,True,True,True
0320,0,1,1,True,True,True
0321,0,0,5,True,True,True
0322,0,0,1,True,True,True
0323,0,0,0,True,True,True
0324,0,1,5,True,True,False
0325,0,0,1,True,True,True
0326,0,0,1,True,True,True
0327,0,0,1,True,True,True
0328,0,0,1,True,True,True
0329,0,1,0,True,True,True
0330,0,4,1,True,True,True
0331,0,1,1,True,True,True
0332,0,0,1,True,True,True
0333,0,0,0,True,True,True
0334,0,0,1,True,True,True
0335,0,1,1,True,True,True
0336,0,1,0,True,True,True
0337,0,1,1,True,True,True
0338,0,0,2,True,True,True
0339,0,1,0,True,True,True
0340,0,1,2,True,True,True
0341,0,0,0,True,True,True
0342,0,0,3,True,True,True
0343,0,0,2,True,True,True
0344,0,4,0,True,True,True
0345,0,0,1,True,True,True
0346,0,1,1,True,True,True
0347,0,0,1,True,True,True
0348,0,1,1,True,True,True
0349,0,0,4,True,True,True
0350,0,0,1,True,True,True
0351,0,1,0,True,True,True
0352,1,0,0,True,True,True
0353,0,0,1,True,True,True
0354,0,1,0,True,True,True
0355,0,3,0,True,True,True
0356,0,1,2,True,True,True
0357,0,1,2,True,True,True
0358,0,2,3,True,True,True
0359,3,0,3,True,True,True
0360,0,2,2,True,True,True
0361,0,1,0,True,True,True
0362,0,2,0,True,True,True
0363,1,0,1,True,True,True
0364,0,1,0,True,True,True
0365,0,2,2,True,True,True
0366,0,0,4,True,True,True
0367,0,2,0,True,True,True
0368,0,1,1,True,True,True
0369,0,0,1,True,True,True
0370,0,0,1,True,True,True
0371,0,2,1,True,True,True
0372,0,0,1,True,True,True
0373,0,0,1,True,True,True
0374,1,1,2,True,True,True
0375,0,0,2,True,True,True
0376,0,1,0,True,True,True
0377,0,1,0,True,True,True
0378,0,1,1,True,True,True
0379,0,2,1,True,True,True
0380,0,1,0,True,True,True
0381,0,3,0,True,True,True
0382,0,1,0,True,True,True
0383,0,1,0,True,True,True
0384,10,0,0,False,False,False
0385,0,1,0,True,True,True
0386,0,2,0,True,True,True
0387,0,1,2,True,True,True
0388,0,1,2,True,True,True
0389,1,1,1,True,True,True
0390,0,1,0,True,True,True
0391,0,0,0,True,True,True
0392,0,1,1,True,True,True
0393,0,1,0,True,True,True
0394,0,0,2,True,True,True
0395,0,2,1,True,True,True
0396,0,1,1,True,True,True
0397,0,0,0,True,True,True
0398,0,1,0,True,True,True
0399,0,0,0,True,True,True
0400,0,0,1,True,True,True
0401,0,1,0,True,True,True
0402,0,0,1,True,True,True
0403,0,0,1,True,True,True
0404,6,1,2,True,True,True
0405,0,2,0,True,True,True
0406,0,1,1,True,True,True
0407,0,2,3,True,True,True
0408,0,1,1,True,True,True
0409,0,1,0,True,True,True
0410,0,0,0,True,True,True
0411,0,0,0,True,True,True
0412,0,1,0,True,True,True
0413,0,2,1,True,True,True
0414,0,0,2,True,True,True
0415,0,1,1,True,True,True
0416,0,1,0,True,True,True
0417,0,1,1,True,True,True
0418,0,0,2,True,True,True
0419,0,0,2,True,True,True
0420,0,1,1,True,True,True
0421,0,0,3,True,True,True
0422,0,1,2,True,True,True
0423,0,1,1,True,True,True
0424,0,1,1,True,True,True
0425,0,0,0,True,True,True
0426,0,1,1,True,True,True
0427,0,1,0,True,True,True
0428,1,1,0,True,True,True
0429,0,2,2,True,True,True
0430,0,1,2,True,True,True
0431,0,1,1,True,True,True
0432,0,2,0,True,True,True
0433,0,1,0,True,True,True
0434,0,1,1,True,True,True
0435,1,0,2,True,True,True
0436,0,1,0,True,True,True
0437,0,1,2,True,True,True
0438,0,1,0,True,True,True
0439,0,0,4,True,True,True
0440,1,0,0,True,True,True
0441,0,0,0,True,True,True
0442,0,0,0,True,True,True
0443,0,0,0,True,True,True
0444,0,0,0,True,True,True
0445,0,1,2,True,True,True
0446,4,0,1,True,True,True
0447,1,1,1,True,True,True
0448,2,0,0,True,True,True
0449,0,1,1,True,True,True
0450,0,0,0,True,True,True
0451,0,1,0,True,True,True
0452,0,0,3,True,True,True
0453,0,0,0,True,True,True
0454,0,1,1,True,True,True
0455,0,0,5,True,True,True
0456,0,0,0,True,True,True
0457,0,1,2,True,True,True
0458,0,1,1,True,True,True
0459,0,0,0,True,True,True
0460,0,1,0,True,True,True
0461,0,1,2,True,True,True
0462,0,0,2,True,True,True
0463,0,1,1,True,True,True
0464,0,2,1,True,True,True
0465,0,0,0,True,True,True
0466,0,3,1,True,True,True
0467,0,1,0,True,True,True
0468,0,1,4,True,True,True
0469,0,1,0,True,True,True
0470,0,0,2,True,True,True
0471,0,1,3,True,True,True
0472,0,0,1,True,True,True
0473,0,3,1,True,True,True
0474,0,0,4,True,True,True
0475,0,0,2,True,True,True
0476,0,1,0,True,True,True
0477,0,1,0,True,True,True
0478,0,1,0,True,True,True
0479,0,1,0,True,True,True
0480,0,1,0,True,True,True
0481,0,0,1,True,True,True
0482,0,3,0,True,True,True
0483,0,0,2,True,True,True
0484,0,1,0,True,True,True
0485,0,2,0,True,True,True
0486,3,2,3,True,True,True
0487,0,5,0,True,False,False
0488,0,0,1,True,True,True
0489,0,0,2,True,True,True
0490,0,0,1,True,True,True
0491,0,1,1,True,True,True
0492,0,1,0,True,True,True
0493,0,1,2,True,True,True
0494,0,1,1,True,True,True
0495,0,0,2,True,True,True
0496,0,0,1,True,True,True
0497,0,1,1,True,True,True
0498,0,1,1,True,True,True
0499,0,0,2,True,True,True
0500,0,3,0,True,True,True
0501,0,0,0,True,True,True
0502,0,0,1,True,True,True
0503,0,2,0,True,True,True
0504,0,1,1,True,True,True
0505,0,0,3,True,True,True
0506,0,0,0,True,True,True
0507,0,1,4,True,True,True
0508,6,0,1,True,True,True
0509,2,4,1,True,True,True
0510,0,0,2,True,True,True
0511,0,1,0,True,True,True
0512,3,2,0,True,True,True
0513,0,1,0,True,True,True
0514,0,1,0,True,True,True
0515,0,1,1,True,True,True
0516,0,0,1,True,True,True
0517,0,1,0,True,True,True
0518,0,0,0,True,True,True
0519,0,2,3,True,True,True
0520,0,0,0,True,True,True
0521,0,0,1,True,True,True
0522,10,0,0,False,False,False
0523,2,1,4,True,True,True
0524,4,1,5,True,True,False
0525,0,0,0,True,True,True
0526,0,0,5,True,True,False
0527,2,0,2,True,True,True
0528,0,0,2,True,True,True
0529,0,1,1,True,True,True
0530,0,2,2,True,True,True
0531,0,1,1,True,True,True
0532,0,1,0,True,True,True
0533,0,0,1,True,True,True
0534,0,0,1,True,True,True
0535,0,0,0,True,True,True
0536,0,0,0,True,True,True
0537,0,0,1,True,True,True
0538,0,0,1,True,True,True
0539,0,0,0,True,True,True
0540,0,1,0,True,True,True
0541,0,1,1,True,True,True
0542,0,2,0,True,True,True
0543,0,0,1,True,True,True
0544,0,0,0,True,True,True
0545,0,5,1,True,True,True
0546,1,0,0,True,True,True
0547,0,0,3,True,True,True
0548,0,1,1,True,True,True
0549,2,2,0,True,True,True
0550,10,0,0,False,False,False
0551,0,0,1,True,True,True
0552,1,1,2,True,True,True
0553,0,0,2,True,True,True
0554,0,1,1,True,True,True
0555,0,0,2,True,True,True
0556,0,0,2,True,True,True
0557,0,0,0,True,True,True
0558,2,1,0,True,True,True
0559,0,0,5,True,True,True
0560,0,1,0,True,True,True
0561,0,1,1,True,True,True
0562,0,0,3,True,True,True
0563,0,0,2,True,True,True
0564,0,1,1,True,True,True
0565,0,1,0,True,True,True
0566,0,0,0,True,True,True
0567,0,0,0,True,True,True
0568,0,1,0,True,True,True
0569,0,1,3,True,True,True
0570,2,0,2,True,True,True
0571,0,1,1,True,True,True
0572,0,0,1,True,True,True
0573,0,0,0,True,True,True
0574,0,2,0,True,True,True
0575,0,2,1,True,True,True
0576,0,0,0,True,True,True
0577,0,0,0,True,True,True
0578,0,1,0,True,True,True
0579,10,0,0,False,False,False
0580,0,0,0,True,True,True
0581,0,1,0,True,True,True
0582,0,1,3,True,True,True
0583,0,0,0,True,True,True
0584,0,1,2,True,True,True
0585,0,1,0,True,True,True
0586,0,1,2,True,True,True
0587,0,0,2,True,True,True
0588,0,1,2,True,True,True
0589,0,1,1,True,True,True
0590,1,1,1,True,True,True
0591,0,1,1,True,True,True
0592,0,0,0,True,True,True
0593,0,0,0,True,True,True
0594,1,1,3,True,True,True
0595,6,0,5,True,True,False
0596,0,1,0,True,True,True
0597,1,0,0,True,True,True
0598,0,1,1,True,True,True
0599,0,1,1,True,True,True
0600,1,2,0,True,True,True
0601,0,0,2,True,True,True
0602,6,1,2,True,True,True
0603,0,1,1,True,True,True
0604,0,1,1,True,True,True
0605,0,1,1,True,True,True
0606,0,0,0,True,True,True
0607,0,1,0,True,True,True
0608,0,0,2,True,True,True
0609,0,0,0,True,True,True
0610,0,1,0,True,True,True
0611,0,2,0,True,True,True
0612,0,0,1,True,True,True
0613,0,1,0,True,True,True
0614,2,0,2,True,True,True
0615,0,1,4,True,True,True
0616,0,1,1,True,True,True
0617,0,0,1,True,True,True
0618,0,1,2,True,True,True
0619,0,0,0,True,True,True
0620,0,5,0,True,True,True
0621,0,1,2,True,True,True
0622,0,1,1,True,True,True
0623,0,1,2,True,True,True
0624,0,0,3,True,True,True
0625,4,1,2,True,True,True
0626,3,5,0,True,True,True
0627,0,2,5,True,True,False
0628,0,1,1,True,True,True
0629,0,0,1,True,True,True
0630,0,2,0,True,True,True
0631,1,1,5,True,True,False
0632,0,0,0,True,True,True
0633,0,0,1,True,True,True
0634,10,1,0,True,True,True
0635,8,0,3,True,True,True
0636,0,0,1,True,True,True
0637,2,1,1,True,True,True
0638,0,1,0,True,True,True
0639,0,0,1,True,True,True
0640,0,2,0,True,True,True
0641,0,0,2,True,True,True
0642,0,1,2,True,True,True
0643,0,2,0,True,True,True
0644,0,0,1,True,True,True
0645,5,0,0,True,True,True
0646,0,1,1,True,True,True
0647,0,0,0,True,True,True
0648,1,2,1,True,True,True
0649,0,1,0,True,True,True
0650,0,3,2,True,True,True
0651,6,0,2,True,True,True
0652,0,2,2,True,True,True
0653,0,1,1,True,True,True
0654,0,1,3,True,True,True
0655,0,1,1,True,True,True
0656,0,0,2,True,True,True
0657,0,1,2,True,True,True
0658,1,1,0,True,True,True
0659,0,1,2,True,True,True
0660,0,0,0,True,True,True
0661,0,0,2,True,True,True
0662,4,1,1,True,True,True
0663,2,1,3,True,True,True
0664,0,1,0,True,True,True
0665,0,0,0,True,True,True
0666,0,3,0,True,True,True
0667,0,1,0,True,True,True
0668,0,0,1,True,True,True
0669,1,1,0,True,True,True
0670,0,0,0,True,True,True
0671,0,2,1,True,True,True
0672,0,1,3,True,True,True
0673,3,0,0,True,True,True
0674,0,1,1,True,True,True
0675,0,2,1,True,True,True
0676,0,1,1,True,True,True
0677,0,0,1,True,True,True
0678,0,1,1,True,True,True
0679,6,2,4,True,True,True
0680,5,0,3,True,True,True
0681,1,0,0,True,True,True
0682,0,0,1,True,True,True
0683,0,0,0,True,True,True
0684,0,1,0,True,True,True
0685,0,1,0,True,True,True
0686,0,2,0,True,True,True
0687,0,1,0,True,True,True
0688,0,0,1,True,True,True
0689,0,1,0,True,True,True
0690,5,1,0,True,True,True
0691,4,1,1,True,True,True
0692,0,0,4,True,True,True
0693,0,0,0,True,True,True
0694,0,1,0,True,True,True
0695,0,1,0,True,True,True
0696,0,0,1,True,True,True
